zscore,pscore,hindex
0.7184849987,-0.07357305283,0.3807681846
0.7144056277,-0.07357305283,0.3410558585
0.7103381109,-0.08122025848,0.3410558585
0.7062823125,-0.09651466978,0.3410558585
0.702238099,-0.09651466978,0.3410558585
0.6982053386,-0.1041618754,0.3410558585
0.6941839014,-0.1041618754,0.3410558585
0.6901736593,-0.1118090811,0.3410558585
0.6861744861,-0.1118090811,0.3410558585
0.6821862571,-0.1194562867,0.3410558585
0.6782088495,-0.1194562867,0.3013435324
0.6742421422,-0.1194562867,0.3013435324
0.6702860158,-0.1271034924,0.3013435324
0.6663403522,-0.1271034924,0.3013435324
