Name,Entity Id,Rank type,Rank value,Time span
ICASSP,1121227772,H-Index,9,One Year
ECCV,1124077590,H-Index,10,One Year
KDD,1130985203,H-Index,11,One Year
EMNLP,1192655580,H-Index,12,One Year
WWW,1135342153,H-Index,13,One Year
SIGIR,1140684652,H-Index,14,One Year
ACL,1188739475,H-Index,15,One Year
IJCNN,1140449422,H-Index,16,One Year
IJCAI,1203999783,H-Index,17,One Year
INTERSPEECH,1177287137,H-Index,18,One Year
EACL,1188587990,H-Index,19,One Year
SOCO,1123077274,H-Index,20,One Year
WACV,1149655676,H-Index,21,One Year
DATE,1178330879,H-Index,22,One Year
DAC,1187904452,H-Index,23,One Year
CCS,1198471430,H-Index,24,One Year
AISTATS,2622962978,H-Index,25,One Year
ISCA,1131341566,H-Index,26,One Year
ISSCC,1183230087,H-Index,27,One Year
ISBI,1187587159,H-Index,28,One Year
WSDM,1120384002,H-Index,29,One Year
MM,1135237122,H-Index,30,One Year
IROS,1143279144,H-Index,31,One Year
ICDAR,1150099070,H-Index,32,One Year
S&P,1163618098,H-Index,33,One Year
COLT,1177622950,H-Index,34,One Year
CIKM,1194094125,H-Index,35,One Year
IV,2756192179,H-Index,36,One Year
MICCAI,1129324708,H-Index,37,One Year
GECCO,1140000399,H-Index,38,One Year
ICIP,1163163559,H-Index,39,One Year
ISCAS,1192710900,H-Index,40,One Year
BMVC,1198654179,H-Index,41,One Year
AVSS,1125350492,H-Index,42,One Year
ICC,1130451194,H-Index,43,One Year
RecSys,1134284382,H-Index,44,One Year
SIGGRAPH,1164321581,H-Index,45,One Year
ICDM,1183478919,H-Index,46,One Year
ICONIP,1183580825,H-Index,47,One Year
FPL,1191474766,H-Index,48,One Year
UAI,1204606053,H-Index,49,One Year
SECURITY,2537594308,H-Index,50,One Year
3DV,2754869338,H-Index,51,One Year
EIConRus,2754885367,H-Index,52,One Year
EUSIPCO,2756071452,H-Index,53,One Year
ICME,1126322613,H-Index,54,One Year
IJCNLP,1126706392,H-Index,55,One Year
ICCAD,1128132410,H-Index,56,One Year
ICPR,1131605622,H-Index,57,One Year
FPGA,1136755600,H-Index,58,One Year
ASP-DAC,1137823534,H-Index,59,One Year
INFOCOM,1143723981,H-Index,60,One Year
ISMIR,1144674403,H-Index,61,One Year
ICANN,1158833223,H-Index,62,One Year
ICMR,1159717609,H-Index,63,One Year
NAACL,1173951661,H-Index,64,One Year
DSS,1182309694,H-Index,65,One Year
AmI,1197908299,H-Index,66,One Year
RSS,2606075370,H-Index,67,One Year
OFC,2621451516,H-Index,68,One Year
Big Data,2623113034,H-Index,69,One Year
ASILOMAR,2623229432,H-Index,70,One Year
CoNLL,2724687765,H-Index,71,One Year
APSIPA,2754583030,H-Index,72,One Year
