Name,Entity Id,Rank type,Rank value,Time span
RCIS,1130566378,H-Index,64,One Year
KDD,1130985203,H-Index,65,One Year
ICDIM,1131237840,H-Index,66,One Year
CLOUD,1137657189,H-Index,67,One Year
INFOCOM,1143723981,H-Index,68,One Year
ADCS,1147924868,H-Index,69,One Year
BIS,1148878455,H-Index,70,One Year
WACV,1149655676,H-Index,71,One Year
ICEIS,1151763769,H-Index,72,One Year
WEBIST,1156749314,H-Index,73,One Year
ICMR,1159717609,H-Index,74,One Year
ISCC,1160213847,H-Index,75,One Year
ICIP,1163163559,H-Index,76,One Year
HICSS,1164519180,H-Index,77,One Year
CARS,1169721244,H-Index,78,One Year
SMC,1170695740,H-Index,79,One Year
NAACL,1173951661,H-Index,80,One Year
PAKDD,1178327129,H-Index,81,One Year
NDSS,1180274659,H-Index,82,One Year
DSS,1182309694,H-Index,83,One Year
ICDM,1183478919,H-Index,84,One Year
FedCSIS,1185931494,H-Index,85,One Year
DocEng,1187420394,H-Index,86,One Year
ICCSA,1191904734,H-Index,87,One Year
FLAIRS,1194143745,H-Index,88,One Year
ASONAM,1194409624,H-Index,89,One Year
CCECE,1199804331,H-Index,90,One Year
IDA,1201250571,H-Index,91,One Year
ICWS,1202201565,H-Index,92,One Year
Hypertext,2532863000,H-Index,93,One Year
RE,2606605052,H-Index,94,One Year
ICoAC,2621703292,H-Index,95,One Year
HPCS,2622163546,H-Index,96,One Year
ITW,2622421702,H-Index,97,One Year
WebSci,2626098776,H-Index,98,One Year
WIMS,2626590601,H-Index,99,One Year
TEEM,2626862238,H-Index,100,One Year
SIGIR,1140684652,Saliency,1,Five Years
CIKM,1194094125,Saliency,2,Five Years
WSDM,1120384002,Saliency,3,Five Years
ASIST,2537396833,Saliency,4,Five Years
WWW,1135342153,Saliency,5,Five Years
ECIR,1180513217,Saliency,6,Five Years
CLEF,1156586875,Saliency,7,Five Years
ACL,1188739475,Saliency,8,Five Years
TREC,2534788800,Saliency,9,Five Years
JCDL,1169258207,Saliency,10,Five Years
ESWC,1180003657,Saliency,11,Five Years
ISWC,1155608529,Saliency,12,Five Years
NAACL,1173951661,Saliency,13,Five Years
SIGMOD,1175089206,Saliency,14,Five Years
AAAI,1184914352,Saliency,15,Five Years
VLDB,1133523790,Saliency,16,Five Years
MM,1135237122,Saliency,17,Five Years
CVPR,1158167855,Saliency,18,Five Years
EMNLP,1192655580,Saliency,19,Five Years
ICDE,1163988186,Saliency,20,Five Years
LREC,1164963593,Saliency,21,Five Years
CHIIR,2626279626,Saliency,22,Five Years
WI,1200067787,Saliency,23,Five Years
RecSys,1134284382,Saliency,24,Five Years
ICCV,1164975091,Saliency,25,Five Years
COLING,1169674987,Saliency,26,Five Years
DocEng,1187420394,Saliency,27,Five Years
I-SEMANTICS,2625637742,Saliency,28,Five Years
ICMR,1159717609,Saliency,29,Five Years
KDD,1130985203,Saliency,30,Five Years
Resource Track - ICSC,2898613818,Saliency,31,Five Years
ICTIR,2756630716,Saliency,32,Five Years
ICDAR,1150099070,Saliency,33,Five Years
AMIA,2757487807,Saliency,34,Five Years
Big Data,2623113034,Saliency,35,Five Years
CHI,1163450153,Saliency,36,Five Years
ICDM,1183478919,Saliency,37,Five Years
ICDKE,1168542559,Saliency,38,Five Years
SAC,2754781246,Saliency,39,Five Years
MTSR,1121935577,Saliency,40,Five Years
ICASSP,1121227772,Saliency,41,Five Years
ECCV,1124077590,Saliency,42,Five Years
AIRS,1182750626,Saliency,43,Five Years
ICSE,1174403976,Saliency,44,Five Years
EDBT,1132593990,Saliency,45,Five Years
ICAI,2755283090,Saliency,46,Five Years
ADCS,1147924868,Saliency,47,Five Years
IJCAI,1203999783,Saliency,48,Five Years
IJCNLP,1126706392,Saliency,49,Five Years
ICIP,1163163559,Saliency,50,Five Years
ICME,1126322613,Saliency,51,Five Years
TPDL,2898296047,Saliency,52,Five Years
EACL,1188587990,Saliency,53,Five Years
K-CAP,1166500626,Saliency,54,Five Years
JCLCS,2757804692,Saliency,55,Five Years
GIR,1204605585,Saliency,56,Five Years
GIScience,1160834642,Saliency,57,Five Years
SOCO,1123077274,Saliency,58,Five Years
MMM,1123621769,Saliency,59,Five Years
WIMS,2626590601,Saliency,60,Five Years
IUI,1170221290,Saliency,61,Five Years
INFOCOM,1143723981,Saliency,62,Five Years
ESWC,2755653720,Saliency,63,Five Years
CICLing,1126288421,Saliency,64,Five Years
ESAIR,2757031696,Saliency,65,Five Years
MSR,1162521816,Saliency,66,Five Years
WebSci,2626098776,Saliency,67,Five Years
ISM,1188521074,Saliency,68,Five Years
IIS,1140961231,Saliency,69,Five Years
Hypertext,2532863000,Saliency,70,Five Years
ICADL,1204638610,Saliency,71,Five Years
SMC,1170695740,Saliency,72,Five Years
CBMI,1204255636,Saliency,73,Five Years
DASFAA,1184699546,Saliency,74,Five Years
WISE,1128202388,Saliency,75,Five Years
ICPR,1131605622,Saliency,76,Five Years
IIiX,1193622546,Saliency,77,Five Years
UMAP,2754031194,Saliency,78,Five Years
BIBM,1156210184,Saliency,79,Five Years
IRCDL,1168262657,Saliency,80,Five Years
ACC,1190039108,Saliency,81,Five Years
Eurographics,2754362256,Saliency,82,Five Years
HICSS,1164519180,Saliency,83,Five Years
DEXA,1192664773,Saliency,84,Five Years
ASE,1166511975,Saliency,85,Five Years
FQAS,1163280044,Saliency,86,Five Years
ICWS,1202201565,Saliency,87,Five Years
INTERSPEECH,1177287137,Saliency,88,Five Years
IACC,2754648445,Saliency,89,Five Years
CIT,1120281879,Saliency,90,Five Years
RANLP,1143871959,Saliency,91,Five Years
GIS,1140348717,Saliency,92,Five Years
ICIS,2755365417,Saliency,93,Five Years
SISAP,1187155619,Saliency,94,Five Years
NeurIPS,1127325140,Saliency,95,Five Years
WAIM,1173521070,Saliency,96,Five Years
CLOUD,1137657189,Saliency,97,Five Years
ICWSM,1124713781,Saliency,98,Five Years
MMSys,2250491939,Saliency,99,Five Years
AKBC,2942832808,Saliency,100,Five Years
ICCV,1164975091,Prestige,1,Five Years
NeurIPS,1127325140,Prestige,2,Five Years
CVPR,1158167855,Prestige,3,Five Years
ECCV,1124077590,Prestige,4,Five Years
MSR,1162521816,Prestige,5,Five Years
VLDB,1133523790,Prestige,6,Five Years
CHI,1163450153,Prestige,7,Five Years
KDD,1130985203,Prestige,8,Five Years
NAACL,1173951661,Prestige,9,Five Years
ACL,1188739475,Prestige,10,Five Years
ICWSM,1124713781,Prestige,11,Five Years
WSDM,1120384002,Prestige,12,Five Years
AAAI,1184914352,Prestige,13,Five Years
EMNLP,1192655580,Prestige,14,Five Years
EACL,1188587990,Prestige,15,Five Years
ASE,1166511975,Prestige,16,Five Years
JCLCS,2757804692,Prestige,17,Five Years
ASIST,2537396833,Prestige,18,Five Years
ICDE,1163988186,Prestige,19,Five Years
Eurographics,2754362256,Prestige,20,Five Years
ICASSP,1121227772,Prestige,21,Five Years
MMSys,2250491939,Prestige,22,Five Years
MM,1135237122,Prestige,23,Five Years
SIGMOD,1175089206,Prestige,24,Five Years
IJCNLP,1126706392,Prestige,25,Five Years
I-SEMANTICS,2625637742,Prestige,26,Five Years
WWW,1135342153,Prestige,27,Five Years
ICWS,1202201565,Prestige,28,Five Years
CLEF,1156586875,Prestige,29,Five Years
SIGIR,1140684652,Prestige,30,Five Years
IJCAI,1203999783,Prestige,31,Five Years
IUI,1170221290,Prestige,32,Five Years
RecSys,1134284382,Prestige,33,Five Years
CIKM,1194094125,Prestige,34,Five Years
AMIA,2757487807,Prestige,35,Five Years
ISWC,1155608529,Prestige,36,Five Years
ESWC,2755653720,Prestige,37,Five Years
ICDAR,1150099070,Prestige,38,Five Years
Hypertext,2532863000,Prestige,39,Five Years
ICMR,1159717609,Prestige,40,Five Years
INTERSPEECH,1177287137,Prestige,41,Five Years
AKBC,2942832808,Prestige,42,Five Years
ESWC,1180003657,Prestige,43,Five Years
INFOCOM,1143723981,Prestige,44,Five Years
ESAIR,2757031696,Prestige,45,Five Years
ICIP,1163163559,Prestige,46,Five Years
COLING,1169674987,Prestige,47,Five Years
JCDL,1169258207,Prestige,48,Five Years
RANLP,1143871959,Prestige,49,Five Years
ICDM,1183478919,Prestige,50,Five Years
SMC,1170695740,Prestige,51,Five Years
ICTIR,2756630716,Prestige,52,Five Years
